iter	Passed	Remaining
0	149	148991
1	150	75294
2	153	51017
3	155	38679
4	156	31164
5	157	26145
6	159	22562
7	160	19883
8	161	17823
9	163	16172
10	165	14902
11	168	13844
12	170	12928
13	172	12138
14	174	11441
15	175	10820
16	177	10272
17	179	9782
18	180	9333
19	182	8933
20	183	8565
21	185	8228
22	185	7898
23	187	7614
24	188	7352
25	189	7110
26	191	6884
27	192	6676
28	193	6483
29	195	6305
30	196	6135
31	197	5979
32	198	5821
33	199	5678
34	201	5544
35	202	5418
36	203	5302
37	205	5191
38	206	5084
39	207	4984
40	209	4888
41	210	4797
42	211	4708
43	212	4624
44	214	4543
45	215	4466
46	216	4393
47	217	4321
48	219	4252
49	220	4188
50	221	4125
51	223	4066
52	224	4011
53	225	3955
54	227	3902
55	228	3851
56	229	3802
57	231	3753
58	232	3707
59	233	3661
60	235	3618
61	236	3576
62	237	3535
63	239	3497
64	240	3461
65	241	3424
66	243	3388
67	244	3352
68	245	3317
69	247	3283
70	248	3251
71	249	3219
72	251	3188
73	252	3157
74	253	3129
75	255	3100
76	256	3072
77	257	3045
78	258	3018
79	259	2986
80	261	2961
81	262	2936
82	263	2912
83	264	2888
84	266	2864
85	267	2843
86	268	2820
87	270	2799
88	271	2778
89	272	2758
90	274	2738
91	275	2719
92	276	2699
93	278	2681
94	279	2662
95	280	2644
96	282	2626
97	283	2608
98	284	2591
99	286	2574
100	287	2558
101	288	2541
102	289	2522
103	290	2506
104	292	2490
105	293	2476
106	294	2460
107	296	2444
108	297	2430
109	298	2416
110	300	2403
111	301	2389
112	302	2375
113	303	2361
114	305	2347
115	306	2334
116	307	2317
117	308	2304
118	309	2292
119	310	2279
120	312	2267
121	313	2256
122	314	2245
123	316	2234
124	317	2224
125	319	2212
126	320	2202
127	321	2191
128	322	2180
129	324	2170
130	325	2157
131	326	2147
132	327	2137
133	329	2127
134	330	2119
135	332	2110
136	333	2101
137	334	2091
138	336	2081
139	337	2072
140	338	2062
141	339	2053
142	341	2044
143	342	2035
144	343	2026
145	345	2018
146	346	2009
147	347	2000
148	348	1991
149	349	1983
150	351	1974
151	352	1966
152	353	1957
153	354	1949
154	356	1941
155	357	1933
156	358	1926
157	360	1918
158	361	1913
159	363	1905
160	364	1898
161	365	1891
162	367	1884
163	368	1878
164	369	1871
165	370	1863
166	372	1856
167	373	1850
168	374	1843
169	376	1837
170	377	1831
171	379	1824
172	380	1817
173	381	1811
174	382	1804
175	384	1798
176	385	1791
177	386	1786
178	387	1779
179	389	1773
180	390	1768
181	392	1761
182	393	1756
183	394	1750
184	395	1744
185	397	1738
186	398	1732
187	399	1727
188	401	1721
189	402	1715
190	403	1710
191	405	1705
192	406	1700
193	407	1694
194	409	1689
195	410	1683
196	411	1678
197	413	1673
198	414	1667
199	415	1662
200	416	1657
201	418	1652
202	419	1647
203	420	1641
204	422	1637
205	423	1632
206	424	1627
207	426	1622
208	427	1617
209	428	1612
210	429	1607
211	431	1602
212	432	1597
213	433	1592
214	435	1588
215	436	1584
216	437	1579
217	439	1574
218	440	1570
219	441	1565
220	443	1561
221	444	1557
222	445	1552
223	447	1548
224	448	1544
225	449	1540
226	451	1536
227	452	1532
228	454	1529
229	455	1526
230	457	1522
231	458	1518
232	459	1514
233	461	1509
234	462	1505
235	463	1501
236	465	1497
237	466	1493
238	467	1489
239	469	1485
240	470	1481
241	471	1477
242	473	1474
243	474	1470
244	475	1466
245	477	1462
246	478	1458
247	479	1455
248	481	1451
249	482	1447
250	483	1443
251	485	1439
252	486	1436
253	487	1433
254	489	1429
255	490	1425
256	491	1422
257	493	1418
258	494	1415
259	495	1411
260	497	1407
261	498	1404
262	499	1400
263	501	1397
264	502	1394
265	504	1390
266	505	1387
267	506	1384
268	508	1380
269	509	1377
270	510	1373
271	512	1370
272	513	1368
273	515	1365
274	516	1361
275	517	1358
276	519	1355
277	520	1351
278	521	1348
279	523	1345
280	524	1342
281	525	1338
282	527	1335
283	528	1332
284	529	1328
285	530	1325
286	532	1322
287	533	1319
288	535	1316
